organism_name,description
Amaranthus hypochondriacus,"Amaranthus hypochondriacus, Annual plant cultivated for its edible leaves and seeds. Commonly known as Prince-of-Wales feather, it is used in traditional medicine."
Miscanthus sacchariflorus,"Miscanthus sacchariflorus, Perennial grass species native to East Asia. It is used in biomass production for bioenergy."
Paspalum notatum,"Paspalum notatum, Perennial grass species native to South America. Commonly known as bahiagrass, it is used for forage and erosion control."
Eucalyptus grandis x Eucalyptus urophylla,"Eucalyptus grandis x Eucalyptus urophylla, Hybrid eucalyptus tree resulting from the crossbreeding of Eucalyptus grandis and Eucalyptus urophylla."
Prunus mongolica,"Prunus mongolica, Deciduous shrub native to East Asia. Commonly known as Mongolian cherry, it is grown for its ornamental value."
Areca catechu,"Areca catechu, Palm tree native to Southeast Asia. Commonly known as betel palm, it is cultivated for its seeds (betel nuts)."
Potentilla anserina,"Potentilla anserina, Perennial herbaceous plant found in temperate regions. Commonly known as silverweed, it is used in traditional medicine."
Oryza punctata,"Oryza punctata, Wild rice species found in South Asia. It is a distant relative of cultivated rice and is adapted to diverse habitats."
Vaccinium macrocarpon,"Vaccinium macrocarpon, Evergreen shrub native to North America. Commonly known as cranberry, it produces tart berries and is cultivated for commercial use."
Juncus effusus,"Juncus effusus, Herbaceous plant native to Eurasia. Commonly known as common rush, it is used in landscaping and erosion control."
Stellera chamaejasme,"Stellera chamaejasme, Perennial herbaceous plant native to Asia. Commonly known as yellow oxlip, it is used in traditional Tibetan medicine."
Fragaria nilgerrensis,"Fragaria nilgerrensis, Perennial herbaceous plant native to Southeast Asia. It is a wild relative of cultivated strawberries."
Scutellaria barbata,"Scutellaria barbata, Perennial herbaceous plant native to Asia. Commonly known as barbat skullcap, it is used in traditional Chinese medicine."
Malania oleifera,"Malania oleifera, Evergreen tree native to Southeast Asia. Commonly known as Indian olive, it produces oil-rich fruits."
Salvia splendens,"Salvia splendens, Perennial herbaceous plant native to Brazil. Commonly known as scarlet sage, it is grown for its vibrant red flowers."
Gynochthodes officinalis,"Gynochthodes officinalis, Evergreen shrub native to Southeast Asia. It is used in traditional medicine for its medicinal properties."
Medicago lupulina,"Medicago lupulina, Annual or biennial leguminous plant known as black medick. It is used as forage and in cover cropping."
Quercus mongolica,"Quercus mongolica, Deciduous tree native to East Asia. Commonly known as Mongolian oak, it is valued for its timber."
Thinopyrum elongatum,"Thinopyrum elongatum, Perennial grass species native to Europe and Asia. Commonly known as tall wheatgrass, it is used for forage and erosion control."
Eucalyptus urophylla,"Eucalyptus urophylla, Evergreen tree native to Australia. Commonly known as Urograndis eucalyptus, it is grown for timber and pulp production."
Alopecurus myosuroides,"Alopecurus myosuroides, Annual or biennial grass species known as black-grass. It is considered a weed in cereal crops."
Aegilops speltoides,"Aegilops speltoides, Annual or perennial grass species native to Southwest Asia. It is a wild relative of cultivated wheat."
Cyclocarya paliurus,"Cyclocarya paliurus, Deciduous tree native to China. Commonly known as wheel wingnut, it is valued for its timber and medicinal properties."
Centaurea solstitialis,"Centaurea solstitialis, Annual or biennial plant native to Eurasia. Commonly known as yellow starthistle, it is considered an invasive weed."
Arachis stenosperma,"Arachis stenosperma, Perennial plant cultivated for its edible seeds, known as wild peanut. It is a wild relative of cultivated peanut."
Dioscorea zingiberensis,"Dioscorea zingiberensis, Perennial vine native to Southeast Asia. Commonly known as Chinese yam, it produces edible tubers."
Acer saccharum,"Acer saccharum, Deciduous tree native to North America. Commonly known as sugar maple, it is valued for its sap, which is used to make maple syrup."
Artocarpus heterophyllus,"Artocarpus heterophyllus, Evergreen tree native to Southwest India. Commonly known as jackfruit, it produces large, edible fruits."
Casuarina glauca,"Casuarina glauca, Evergreen tree native to Australia. Commonly known as swamp sheoak, it is valued for its timber."
Quercus lobata,"Quercus lobata, Deciduous tree native to California. Commonly known as valley oak, it is the largest North American oak species."
Kandelia obovata,"Kandelia obovata, Evergreen shrub native to East Asia. Commonly known as kandelia, it is adapted to mangrove habitats."
Miscanthus floridulus,"Miscanthus floridulus, Perennial grass species native to East Asia. Commonly known as giant Chinese silver grass, it is used in landscaping."
Rosa rugosa,"Rosa rugosa, Perennial shrub native to East Asia. Commonly known as rugosa rose, it is grown for its fragrant flowers and hips."
Limonium bicolor,"Limonium bicolor, Perennial herbaceous plant native to Europe. Commonly known as two-colored statice, it is used in floral arrangements."
Salix suchowensis,"Salix suchowensis, Deciduous tree native to China. Commonly known as willow-leaved peashrub, it is used in erosion control and for ornamental purposes."
Coffea eugenioides,"Coffea eugenioides, Evergreen shrub native to Central and South America. Commonly known as lowland coffee, it is a coffee-producing species."
Ceriops tagal,"Ceriops tagal, Evergreen shrub or small tree native to mangrove habitats. Commonly known as Indian mangrove, it is adapted to coastal environments."
Centella asiatica,"Centella asiatica, Perennial herbaceous plant native to Asia. Commonly known as Asiatic pennywort, it is used in traditional medicine."
Melastoma malabathricum subsp. normale,"Melastoma malabathricum subsp. normale, Perennial shrub native to Southeast Asia. It is known for its showy flowers and is grown for ornamental purposes."
Coptis chinensis,"Coptis chinensis, Perennial herbaceous plant native to China. Commonly known as goldthread, it is used in traditional Chinese medicine."
Verbena officinalis,"Verbena officinalis, Perennial herbaceous plant native to Europe. Commonly known as common vervain, it is used in traditional medicine."
Chenopodium album,"Chenopodium album, Annual plant native to Eurasia. Commonly known as lamb's quarters, it is edible and used in some cuisines."
Ailanthus altissimus,"Ailanthus altissimus, Deciduous tree native to East Asia. Commonly known as tree of heaven, it is invasive in some regions."
Alnus glutinosa,"Alnus glutinosa, Deciduous tree native to Europe and Western Asia. Commonly known as black alder, it is valued for its timber."
Gossypium longicalyx,"Gossypium longicalyx, Perennial shrub native to tropical Africa. Commonly known as wild cotton, it is a wild relative of cultivated cotton."
Gossypium anomalum,"Gossypium anomalum, Perennial shrub native to Africa. Commonly known as cotton bush, it is a wild relative of cultivated cotton."
Gossypium tomentosum,"Gossypium tomentosum, Perennial shrub native to Africa. Commonly known as hairy wild cotton, it is a wild relative of cultivated cotton."
Citrullus amarus,"Citrullus amarus, Annual herbaceous plant native to Africa. Commonly known as wild watermelon, it produces small, bitter fruits."
Solanum arcanum,"Solanum arcanum, Perennial herbaceous plant native to South America. Commonly known as wild potato, it is a wild relative of cultivated potatoes."
Fragaria iinumae,"Fragaria iinumae, Perennial herbaceous plant native to East Asia. It is a wild relative of cultivated strawberries."
Amphicarpaea edgeworthii,"Amphicarpaea edgeworthii, Perennial herbaceous plant native to Asia. Commonly known as hog peanut, it produces both aboveground and underground flowers."
Wurfbainia villosa,"Wurfbainia villosa, Perennial herbaceous plant native to China. Commonly known as hairy melon, it is used in traditional Chinese medicine."
Plantago major,"Plantago major, Perennial herbaceous plant native to Eurasia. Commonly known as common plantain, it is used in herbal medicine."
Chimonanthus praecox,"Chimonanthus praecox, Deciduous shrub native to China. Commonly known as wintersweet, it is valued for its fragrant winter flowers."
Gossypium mustelinum,"Gossypium mustelinum, Perennial shrub native to tropical Africa. Commonly known as Levant cotton, it is a wild relative of cultivated cotton."
Schrenkiella parvula,"Schrenkiella parvula, Annual or biennial herbaceous plant native to Central Asia. It is a wild relative of cultivated mustard."
Prunus mira,"Prunus mira, Deciduous tree native to East Asia. Commonly known as wild cherry, it produces small fruits and is used in traditional medicine."
Atalantia buxifolia,"Atalantia buxifolia, Evergreen tree native to South Asia. Commonly known as boxthorn, it is used in traditional medicine."
Utricularia gibba,"Utricularia gibba, Aquatic perennial carnivorous plant found worldwide. Commonly known as humped bladderwort, it captures small organisms in bladder-like traps."
Melia azedarach,"Melia azedarach, Deciduous tree native to South Asia. Commonly known as chinaberry, it is valued for its timber and medicinal properties."
